,int,int_label,has_participant,participant_label,has_dissociation_constant,dissociation_constant_value,dissociation_constant_error,is_confirmed_by,is_outcome_of
2137,http://rdf.freebase.com/ns/m.0gm9mrv,10606271-TAR-Interaction-1,http://rdf.freebase.com/ns/m.0gm9nch,trans activation responsive RNA,http://rdf.freebase.com/ns/m.0gm9n4h,1.8e-08,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2138,http://rdf.freebase.com/ns/m.0gm9ms8,10606271-TAR-Interaction-2,http://rdf.freebase.com/ns/m.0gm9n9w,10606271-TAR-2,http://rdf.freebase.com/ns/m.0gm9n4y,3.2e-08,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2139,http://rdf.freebase.com/ns/m.0gm9ms8,10606271-TAR-Interaction-2,http://rdf.freebase.com/ns/m.0gm9nch,trans activation responsive RNA,http://rdf.freebase.com/ns/m.0gm9n4y,3.2e-08,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2140,http://rdf.freebase.com/ns/m.0gm9msq,10606271-TAR-Interaction-5,http://rdf.freebase.com/ns/m.0gm9nch,trans activation responsive RNA,http://rdf.freebase.com/ns/m.0gm9n41,1.33e-07,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2141,http://rdf.freebase.com/ns/m.0gm9msq,10606271-TAR-Interaction-5,http://rdf.freebase.com/ns/m.0gm9nj6,10606271-TAR-5,http://rdf.freebase.com/ns/m.0gm9n41,1.33e-07,,http://rdf.freebase.com/ns/m.0gm9mxr,http://rdf.freebase.com/ns/m.0gm9mpz
2142,http://rdf.freebase.com/ns/m.0gmj_yc,1379730-HIV-1-RT-Interaction-1,http://rdf.freebase.com/ns/m.0gmk04f,HIV-1-RT,http://rdf.freebase.com/ns/m.0gmk05x,5e-09,,http://rdf.freebase.com/ns/m.0gmk05f,http://rdf.freebase.com/ns/m.0gmj_wz
2143,http://rdf.freebase.com/ns/m.0gmj_yc,1379730-HIV-1-RT-Interaction-1,http://rdf.freebase.com/ns/m.0gmk04p,1379730-HIV-1-RT-1,http://rdf.freebase.com/ns/m.0gmk05x,5e-09,,http://rdf.freebase.com/ns/m.0gmk05f,http://rdf.freebase.com/ns/m.0gmj_wz
2144,http://rdf.freebase.com/ns/m.0gmj_yc,1379730-HIV-1-RT-Interaction-1,http://rdf.freebase.com/ns/m.0gmk04y,1379730-HIV-1-RT-2,http://rdf.freebase.com/ns/m.0gmk05x,5e-09,,http://rdf.freebase.com/ns/m.0gmk05f,http://rdf.freebase.com/ns/m.0gmj_wz
2145,http://rdf.freebase.com/ns/m.0gygf23,21614178-fumonisin B1-Interaction-1,http://rdf.freebase.com/ns/m.0gygf5h,21614178-fumonisin B1-1,http://rdf.freebase.com/ns/m.0gygf6k,1e-07,,http://rdf.freebase.com/ns/m.0gygf5v,http://rdf.freebase.com/ns/m.0gygf19
2146,http://rdf.freebase.com/ns/m.0h_4t85,15294075-hepatitis C virus NS3 helicase domain-Interaction-3,http://rdf.freebase.com/ns/m.0h_4tfw,hepatitis C virus NS3 helicase domain,http://rdf.freebase.com/ns/m.0h_4tsc,2.1e-08,,http://rdf.freebase.com/ns/m.0h_4tgp,http://rdf.freebase.com/ns/m.0h_4t5j
2147,http://rdf.freebase.com/ns/m.0h_4t85,15294075-hepatitis C virus NS3 helicase domain-Interaction-3,http://rdf.freebase.com/ns/m.0h_4trs,15294075-hepatitis C virus NS3 helicase domain-3,http://rdf.freebase.com/ns/m.0h_4tsc,2.1e-08,,http://rdf.freebase.com/ns/m.0h_4tgp,http://rdf.freebase.com/ns/m.0h_4t5j
2148,http://rdf.freebase.com/ns/m.0h_4t8d,15294075-hepatitis C virus NS3 helicase domain-Interaction-1,http://rdf.freebase.com/ns/m.0h_4tfw,hepatitis C virus NS3 helicase domain,http://rdf.freebase.com/ns/m.0h_4tgy,2.1e-08,,http://rdf.freebase.com/ns/m.0h_4tgp,http://rdf.freebase.com/ns/m.0h_4t5j
2149,http://rdf.freebase.com/ns/m.0h_4t8d,15294075-hepatitis C virus NS3 helicase domain-Interaction-1,http://rdf.freebase.com/ns/m.0h_4tg3,15294075-hepatitis C virus NS3 helicase domain-1,http://rdf.freebase.com/ns/m.0h_4tgy,2.1e-08,,http://rdf.freebase.com/ns/m.0h_4tgp,http://rdf.freebase.com/ns/m.0h_4t5j
2150,http://rdf.freebase.com/ns/m.0h_4whp,15336537-hepatitis C virus internal ribosome entry site-Interaction-2,http://rdf.freebase.com/ns/m.0h_4wtp,15336537-hepatitis C virus internal ribosome entry site-2,http://rdf.freebase.com/ns/m.0h_4wwd,1.1e-07,,http://rdf.freebase.com/ns/m.0h_4wqy,http://rdf.freebase.com/ns/m.0h_4wfz
2151,http://rdf.freebase.com/ns/m.0h_4whx,15336537-hepatitis C virus internal ribosome entry site-Interaction-1,http://rdf.freebase.com/ns/m.0h_4wqc,15336537-hepatitis C virus internal ribosome entry site-1,http://rdf.freebase.com/ns/m.0h_4wr5,8.5e-08,,http://rdf.freebase.com/ns/m.0h_4wqy,http://rdf.freebase.com/ns/m.0h_4wfz
2152,http://rdf.freebase.com/ns/m.0h_50zr,15237981-ATP-Interaction-2,http://rdf.freebase.com/ns/m.0h_512z,15237981-ATP-2,http://rdf.freebase.com/ns/m.0h_513j,4.8e-06,,http://rdf.freebase.com/ns/m.0h_5137,http://rdf.freebase.com/ns/m.0h_50yp
2153,http://rdf.freebase.com/ns/m.0h_50zr,15237981-ATP-Interaction-2,http://rdf.freebase.com/ns/m.0t9s,Adenosine triphosphate,http://rdf.freebase.com/ns/m.0h_513j,4.8e-06,,http://rdf.freebase.com/ns/m.0h_5137,http://rdf.freebase.com/ns/m.0h_50yp
